QM,Securities,CBNA,IE,ATM,Mo,POS,WEBPAY,MOBILE,Headline,Core,Food,OilRevenue,Insecurity,PMS,PMIt,GovtExp
12877712.43,395923.76,16475096.45,197.0,45474823,9136068.46,4554184,841026,2852858,15.58,15.05,14.86,179430000.0,43310,150.3,43.7,25588.0
12474981.96,622139.43,19587409.78,231.76,45109270,9705090.34,4574266,882021,2933058,16.48,16.22,15.3,158447000.0,43899,148.5,45.8,136721.0
12867067.04,662658.85,21075388.65,294.57,48430647,9518981.39,5071228,900176,3405110,17.13,16.93,15.8,341725000.0,44233,147.7,41.9,66843.0
14007796.55,421829.59,20704652.5,309.73,53775039,9583936.03,5370856,1282724,3742399,17.61,17.21,16.43,214145000.0,44928,147.3,44.1,41945.0
9429960.43,5653528.34,21266278.7,305.23,50961347,9535573.07,5586031,1343817,3718079,17.85,17.67,16.62,242623000.0,45277,146.3,42.08,54959.0
8750872.03,6888362.82,24189500.52,305.21,56546546,10115050.31,6378199,1586763,3738399,18.33,18.07,17.09,188353000.0,45546,145.9,42.5,2046.0
11128693.88,7540979.52,22739002.77,305.18,57386224,11175573.96,6976520,1790061,4889138,18.48,18.24,17.19,218865000.0,46025,146.7,44.1,353.0
13517467.81,9122523.41,23364747.7,305.22,61958258,8250773.31,8994764,1798275,4824604,18.55,18.05,17.39,246888000.0,46291,146.7,46.0,401728.0
12981057.49,8295968.92,22905214.41,305.2,55086096,9066713.19,7946772,1812915,4168313,18.72,17.87,17.82,205984000.0,46883,148.7,52.0,69102.0
12939764.67,6689002.25,24004666.61,305.31,57147027,9040817.68,8606875,1773697,4440834,17.78,16.01,18.53,286485000.0,47241,149.8,48.2,55140.0
12004828.85,-522091.83,24608946.01,306.4,66731587,10190190.92,10093335,1933446,4000559,17.26,15.4,18.44,306016000.0,47534,149.4,44.6,358396.0
11530772.57,672440.2,23941024.17,306.05,61558045,10320681.74,10420611,2155852,3672247,17.24,14.75,19.3,297097000.0,47887,149.9,47.67,80010.0
12063180.74,6017096.17,24066546.06,305.54,65939434,9890813.1,11133486,2020671,3901298,16.25,13.02,19.27,238086000.0,48259,150.7,51.1,85518.0
12436369.82,5116594.87,25284278.1,305.72,60307952,10064248.19,11220631,1788583,3985563,16.1,12.46,19.91,254027000.0,48863,150.3,52.5,6557.0
11918055.53,5728199.57,25827918.61,305.86,62305387,10393062.49,12737874,2058835,3895102,16.05,12.21,20.28,362434000.0,49258,148.21,52.9,4991.0
13157335.68,4178644.74,26481220.56,305.67,66810599,10983298.53,13276810,2548944,3872831,16.01,12.3,20.25,412267200.0,49606,144.43,54.1,115347.0
9741503.04,9690141.44,28909619.61,305.89,64970743,10057954.5,13295500,3158004,3595147,15.98,12.12,20.32,495917015.4,49823,144.52,53.6,116347.0
10386271.49,8873141.93,28431602.77,305.62,72140905,10234531.59,15052573,3208724,3937837,15.91,12.14,20.31,398065000.0,50229,145.99,55.3,20926.0
14608742.65,6426629.73,30505871.03,305.9,87928334,9815679.49,15425224,3255470,3825970,15.9,12.21,20.31,417745000.0,50649,145.6,55.0,73621.0
14216822.57,7552346.04,31226685.87,306.31,79622990,10257331.42,17057465,3275956,4508860,15.37,12.09,19.42,410230000.0,50909,171.79,55.9,369428.0
14720857.36,6690459.84,33732077.09,305.78,69370277,10448156.83,16102962,3181510,4369622,15.13,12.09,18.92,389438412.7,51480,190.87,59.3,196655.0
14056319.38,8545244.02,35310215.63,305.9,66329905,10757685.14,16731362,3072375,4777447,14.33,11.71,17.59,436888309.9,51774,172.46,57.3,166407.0
13729710.55,3507547.58,34353716.7,305.74,76670671,11241391.38,20728441,3380371,6107608,13.34,11.18,16.08,461732000.0,52168,163.39,56.3,272216.0
14171137.82,2864693.63,34185938.16,305.61,70947764,10688208.65,20751162,3495876,5955903,12.48,10.92,14.8,460766662.0,52963,151.4,56.7,123522.0
13808104.35,3551347.62,34367230.72,305.83,75191266,11752557.98,23180315,3304791,7565702,11.61,10.71,13.45,431367556.5,53620,150.17,56.9,105887.0
15007927.49,3013346.42,34338420.04,305.87,71278931,11033976.38,23298442,3033580,7165260,11.23,10.39,12.98,505926803.8,54321,148.09,56.5,46921.0
14843277.44,4408115.39,36501477.61,305.81,72981547,10624148.11,26990305,3930816,8448066,11.14,10.18,12.85,513537946.6,54941,146.82,57.0,1753.0
15842261.97,2275254.48,35648613.24,306.06,75792100,11226313.09,29885436,5002812,8409540,11.23,10.02,13.16,403589614.7,55388,146.9,56.8,41770.0
12395416.55,6417006.78,36118885.33,306.27,71496724,10701110.0,29162526,5031416,8040342,11.28,9.84,13.31,477064000.0,55894,147.33,57.1,181815.0
11542952.77,7493860.04,37872001.6,306.5,73084212,10668002.07,27727169,5358319,9460794,11.26,9.88,13.28,422126000.0,56597,147.23,56.2,154642.0
16217394.98,8209498.96,37673836.98,306.71,73371402,10617420.14,29405429,5766482,10904858,11.28,9.79,13.3,601897862.7,57088,147.46,56.8,266778.0
16648872.58,7870573.46,38198675.62,306.92,79004508,10930572.57,31926618,6257553,13448304,11.44,9.77,13.56,441284000.0,57474,145.78,57.9,123733.0
17280569.19,8664426.96,39394045.15,306.85,68524175,10533132.42,28162746,6607162,12402234,11.37,9.91,13.51,417319000.0,58551,145.7,61.1,132343.0
16987768.74,6877551.47,40429227.66,306.77,60803325,10911059.53,25778644,6347246,12812336,11.31,9.8,13.47,452743000.0,59428,145.29,58.5,200022.0
17422362.01,-69214.34,41143038.33,306.92,73632232,10854779.76,29820754,7427703,16258436,11.25,9.46,13.45,485724034.4,60442,145.32,57.1,122861.0
16172791.69,2096316.58,41150592.39,306.96,75043037,11384007.19,33368778,11174073,19148956,11.37,9.28,13.7,425693000.0,61514,145.92,57.4,278292.0
16508706.83,6161116.59,39433391.11,306.95,75433302,11161250.34,35466679,10563897,21214603,11.4,9.03,13.79,380824000.0,62283,145.03,57.7,218600.0
16363404.12,6926995.64,40421369.75,306.95,71183606,11448386.72,35097558,5856819,22937368,11.22,8.84,13.56,318692000.0,63174,145.36,57.8,171367.0
17184975.66,6470799.28,39788542.96,306.94,71383197,11230396.33,39224406,7331646,28315044,11.08,8.8,13.39,341057000.0,63704,145.03,57.4,101259.0
17662394.92,6120857.32,40056017.0,306.93,73988365,11120799.53,41379830,9747397,37291635,11.02,8.68,13.17,450219000.0,64339,145.48,57.6,26416.0
7986409.26,11721113.32,38920974.92,306.92,67454875,15976622.22,40740772,9613824,47460653,11.24,8.94,13.51,430293000.0,64728,145.53,57.9,177753.0
13000995.79,11072533.02,39252495.05,306.96,66766722,11142014.49,41602024,9135016,42043290,11.61,8.88,14.09,509529000.0,65102,145.48,57.7,279846.0
19980004.6,4984889.17,40515779.96,306.95,65980978,11030117.47,41833763,9114595,48775160,11.85,8.99,14.48,451324000.0,65393,145.94,58.2,144798.0
21014608.43,4259718.83,40368961.05,306.95,69626108,10943876.42,46138228,10577629,68605493,11.98,9.33,14.67,430771000.0,65814,145.35,59.3,435439.0
21462960.4,4239291.48,40555662.78,306.96,168525739,11256202.28,41305041,317109647,63405924,12.13,9.35,14.85,527184000.0,66568,145.37,60.8,331.0
19817920.0,6033829.67,41021667.47,306.96,167770512,12775602.49,46071669,335699754,46214691,12.2,9.43,14.9,452447000.0,67277,145.41,59.2,52587.0
20203851.23,390465.54,44123432.14,326.63,190234195,13133475.59,52249019,478339263,63730361,12.26,9.73,14.98,405327000.0,68159,145.4,58.3,86780.0
20706916.15,-1402175.5,44056763.47,361.0,115518329,13555672.34,40859206,376054999,48149409,12.34,9.98,15.03,454340000.0,69948,130.84,51.1,112112.0
20771603.6,811187.84,46088141.56,361.0,135857274,14193844.06,48371074,438264450,49302496,12.4,10.12,15.04,284042000.0,71083,129.67,56.2,127037.0
20910173.54,146479.24,46967639.26,361.0,151026271,14819010.85,49421986,507471371,59037651,12.56,10.13,15.18,282394000.0,72019,128.88,42.4,65907.0
26120023.55,-567952.0,47762329.72,377.19,170348417,10397772.25,53904356,572806624,65218770,12.82,10.1,15.48,242040000.0,72714,143.63,41.1,119841.0
26597974.13,-1936981.5,45382375.25,381.0,191354683,11107001.84,50663508,613397465,64964279,13.22,10.52,16.0,353693000.0,73138,148.78,44.9,197194.0
15111216.58,10042360.81,45410697.87,381.0,168325956,11659870.47,58052877,613955108,66912707,13.71,10.58,16.66,254343000.0,73648,161.06,48.5,146074.0
13993335.68,9571503.97,45796778.84,381.0,151924854,12553304.03,68411116,680837930,74843927,14.23,11.14,17.38,201115000.0,74297,161.17,46.9,152902.0
